epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3939.19,0.88002,0.42714,0.89337,0.99262,0.98032,0.99342,0.7688,0.92807,0.40247,0.90719,0.000346625,0.000346625,0.000346625
75,3991.45,0.87352,0.42002,0.89216,0.98782,0.98878,0.9935,0.76705,0.92381,0.39708,0.90408,0.00033425,0.00033425,0.00033425
76,4042.86,0.87815,0.42344,0.89038,0.99336,0.98288,0.99359,0.76884,0.9209,0.39781,0.90212,0.000321875,0.000321875,0.000321875
77,4095.81,0.87165,0.42046,0.89259,0.99465,0.98021,0.99344,0.76821,0.92392,0.39711,0.90542,0.0003095,0.0003095,0.0003095
78,4149.23,0.87241,0.42015,0.89189,0.99057,0.98363,0.99383,0.76923,0.91761,0.39324,0.90283,0.000297125,0.000297125,0.000297125
79,4200.76,0.85873,0.41642,0.88671,0.98968,0.98536,0.99362,0.77154,0.91572,0.39215,0.90112,0.00028475,0.00028475,0.00028475
80,4252.16,0.866,0.42031,0.89212,0.98781,0.98427,0.99331,0.76732,0.91852,0.39312,0.90043,0.000272375,0.000272375,0.000272375
81,4303.22,0.84993,0.40951,0.88947,0.99097,0.98214,0.99318,0.76723,0.92078,0.39207,0.90268,0.00026,0.00026,0.00026
82,4356.65,0.85312,0.41113,0.8878,0.9887,0.98668,0.99371,0.76732,0.91894,0.39324,0.90289,0.000247625,0.000247625,0.000247625
83,4412.69,0.84953,0.4088,0.88608,0.99164,0.98292,0.99353,0.76995,0.91745,0.39067,0.90289,0.00023525,0.00023525,0.00023525
84,4465.33,0.84816,0.4056,0.88714,0.99216,0.98806,0.99401,0.77271,0.92056,0.39064,0.90179,0.000222875,0.000222875,0.000222875
85,4516.27,0.84986,0.40428,0.88519,0.99169,0.98879,0.99398,0.77435,0.91793,0.39029,0.90303,0.0002105,0.0002105,0.0002105
86,4567.46,0.83348,0.39769,0.88176,0.98669,0.98949,0.9937,0.77413,0.9163,0.38869,0.90453,0.000198125,0.000198125,0.000198125
87,4618.58,0.83452,0.40034,0.88406,0.98695,0.98696,0.99368,0.775,0.91662,0.38879,0.90402,0.00018575,0.00018575,0.00018575
88,4669.93,0.8205,0.39299,0.88073,0.98663,0.98779,0.99372,0.77417,0.91086,0.38809,0.90137,0.000173375,0.000173375,0.000173375
89,4720.8,0.82327,0.39193,0.87863,0.98711,0.98782,0.9939,0.7742,0.90897,0.38744,0.90021,0.000161,0.000161,0.000161
90,4771.73,0.82069,0.39538,0.87545,0.98559,0.99106,0.99374,0.77202,0.91117,0.38674,0.90186,0.000148625,0.000148625,0.000148625
91,4847.11,0.786,0.36036,0.86623,0.98568,0.98533,0.99333,0.77075,0.9119,0.38935,0.90019,0.00013625,0.00013625,0.00013625
92,4897.98,0.77862,0.35499,0.86496,0.99072,0.9831,0.99328,0.76991,0.91242,0.38828,0.90145,0.000123875,0.000123875,0.000123875
93,4948.92,0.76753,0.35098,0.86437,0.98841,0.98493,0.99326,0.77234,0.9128,0.38833,0.90045,0.0001115,0.0001115,0.0001115
94,4999.49,0.76813,0.35224,0.85956,0.98847,0.98491,0.99331,0.77098,0.91238,0.38829,0.89981,9.9125e-05,9.9125e-05,9.9125e-05
95,5050.51,0.76636,0.34788,0.85942,0.98946,0.98453,0.9933,0.7717,0.91218,0.38772,0.89951,8.675e-05,8.675e-05,8.675e-05
96,5101.29,0.7619,0.34568,0.85715,0.99267,0.98284,0.9933,0.77175,0.90984,0.38623,0.89969,7.4375e-05,7.4375e-05,7.4375e-05
97,5151.97,0.75602,0.34425,0.85803,0.9921,0.98265,0.9934,0.77137,0.90931,0.38654,0.89999,6.2e-05,6.2e-05,6.2e-05
98,5202.68,0.75042,0.34439,0.85713,0.98929,0.98446,0.99347,0.77151,0.90899,0.3852,0.90006,4.9625e-05,4.9625e-05,4.9625e-05
99,5254.02,0.75141,0.34249,0.85497,0.99125,0.98568,0.99345,0.77433,0.90811,0.38459,0.90047,3.725e-05,3.725e-05,3.725e-05
100,5305.16,0.75033,0.33984,0.85235,0.99162,0.9858,0.99349,0.77317,0.90766,0.38422,0.90052,2.4875e-05,2.4875e-05,2.4875e-05
